code,equipment_code,direction,signal_type,description,normal_state,related_alarm
DO_LP_SIGNAL_45,LP-02,DO,ACTUATOR,Synthetic DO signal 45 for Load Port training and testing.,false,LP-DEMO-016
DI_LP_SIGNAL_46,LP-02,DI,SENSOR,Synthetic DI signal 46 for Load Port training and testing.,false,LP-DEMO-017
DO_LP_SIGNAL_47,LP-02,DO,ACTUATOR,Synthetic DO signal 47 for Load Port training and testing.,false,LP-DEMO-018
DI_LP_SIGNAL_48,LP-02,DI,SENSOR,Synthetic DI signal 48 for Load Port training and testing.,false,LP-DEMO-019
DO_LP_SIGNAL_49,LP-02,DO,ACTUATOR,Synthetic DO signal 49 for Load Port training and testing.,false,LP-DEMO-020
DI_LP_SIGNAL_50,LP-02,DI,SENSOR,Synthetic DI signal 50 for Load Port training and testing.,false,LP-DEMO-021
DO_LP_SIGNAL_51,LP-02,DO,ACTUATOR,Synthetic DO signal 51 for Load Port training and testing.,false,LP-DEMO-022
DI_LP_SIGNAL_52,LP-02,DI,SENSOR,Synthetic DI signal 52 for Load Port training and testing.,false,LP-DEMO-023
DO_LP_SIGNAL_53,LP-02,DO,ACTUATOR,Synthetic DO signal 53 for Load Port training and testing.,false,LP-DEMO-024
DI_LP_SIGNAL_54,LP-02,DI,SENSOR,Synthetic DI signal 54 for Load Port training and testing.,false,LP-DEMO-025
DO_LP_SIGNAL_55,LP-02,DO,ACTUATOR,Synthetic DO signal 55 for Load Port training and testing.,false,LP-DEMO-026
DI_LP_SIGNAL_56,LP-02,DI,SENSOR,Synthetic DI signal 56 for Load Port training and testing.,false,LP-DEMO-027
DO_LP_SIGNAL_57,LP-02,DO,ACTUATOR,Synthetic DO signal 57 for Load Port training and testing.,false,LP-DEMO-028
DI_LP_SIGNAL_58,LP-02,DI,SENSOR,Synthetic DI signal 58 for Load Port training and testing.,false,LP-DEMO-029
DO_LP_SIGNAL_59,LP-02,DO,ACTUATOR,Synthetic DO signal 59 for Load Port training and testing.,false,LP-DEMO-030
DI_LP_SIGNAL_60,LP-02,DI,SENSOR,Synthetic DI signal 60 for Load Port training and testing.,false,LP-CLAMP-014
